Site,DEL,Gov,nb cell 2G,nb cell 3G,nb cell 4G,nb cell FWBA
SFX1048,AGAREB,SFAX,5,5,6,0
SFX1049,AGAREB,SFAX,6,6,6,0
SFX1050,AGAREB,SFAX,5,9,0,0
SFX1053,AGAREB,SFAX,5,12,0,0
SFX1090,AGAREB,SFAX,5,9,0,0
SFX1147,AGAREB,SFAX,4,9,0,0
SFX1187,AGAREB,SFAX,4,12,0,0
SFX1224,AGAREB,SFAX,7,16,0,0
SFX1231,AGAREB,SFAX,6,12,0,0
JEN1004,AIN DRAHAM,JENDOUBA,6,12,6,0
JEN1009,AIN DRAHAM,JENDOUBA,3,9,0,0
JEN1024,AIN DRAHAM,JENDOUBA,5,12,0,0
JEN1038,AIN DRAHAM,JENDOUBA,3,6,0,0
JEN1041,AIN DRAHAM,JENDOUBA,7,18,0,0
JEN1042,AIN DRAHAM,JENDOUBA,6,12,0,0
JEN1054,AIN DRAHAM,JENDOUBA,4,11,0,0
JEN1060,AIN DRAHAM,JENDOUBA,3,9,0,0
JEN1067,AIN DRAHAM,JENDOUBA,5,12,0,0
SOS1009,AKOUDA,SOUSSE,6,13,6,0
SOS1027,AKOUDA,SOUSSE,8,19,8,0
SOS1039,AKOUDA,SOUSSE,6,12,6,0
SOS1042,AKOUDA,SOUSSE,5,15,6,0
SOS1063,AKOUDA,SOUSSE,7,12,0,6
SOS1064,AKOUDA,SOUSSE,6,15,6,0
SOS1072,AKOUDA,SOUSSE,7,18,8,0
SOS1098,AKOUDA,SOUSSE,6,15,6,0
SOS1111,AKOUDA,SOUSSE,6,12,0,0
SOS1146,AKOUDA,SOUSSE,6,12,6,0
SOS2034,AKOUDA,SOUSSE,#N/A,#N/A,#N/A,0
KAI1011,ALBA,KAIROUAN,4,4,0,0
KAI1031,ALBA,KAIROUAN,5,6,6,0
KAI1064,ALBA,KAIROUAN,5,16,0,0
BEJ1016,AMDOUN,BEJA,6,18,0,0
BEJ1027,AMDOUN,BEJA,6,12,0,0
BEJ1038,AMDOUN,BEJA,3,14,0,0
BEJ1052,AMDOUN,BEJA,6,16,0,0
SFX1046,AMRA,SFAX,6,2,0,0
SFX1083,AMRA,SFAX,5,6,6,0
TUN1281,ARIANA VILLE,ARIANA,3,12,6,0
TUN1024,ARIANA VILLE,ARIANA,6,12,8,6
TUN1025,ARIANA VILLE,ARIANA,5,16,8,6
TUN1028,ARIANA VILLE,ARIANA,6,20,8,6
TUN1029,ARIANA VILLE,ARIANA,6,18,9,6
TUN1043,ARIANA VILLE,ARIANA,5,18,9,6
TUN1046,ARIANA VILLE,ARIANA,4,12,6,0
TUN1067,ARIANA VILLE,ARIANA,3,9,6,6
TUN1092,ARIANA VILLE,ARIANA,4,8,8,6
TUN1131,ARIANA VILLE,ARIANA,6,16,6,6
TUN1134,ARIANA VILLE,ARIANA,3,15,6,6
TUN1142,ARIANA VILLE,ARIANA,6,12,9,6
TUN1143,ARIANA VILLE,ARIANA,4,18,9,6
TUN1177,ARIANA VILLE,ARIANA,4,12,6,6
TUN1179,ARIANA VILLE,ARIANA,6,15,9,6
TUN1195,ARIANA VILLE,ARIANA,3,12,3,6
TUN1214,ARIANA VILLE,ARIANA,3,6,0,0
TUN1225,ARIANA VILLE,ARIANA,6,15,9,6
TUN1241,ARIANA VILLE,ARIANA,3,12,6,4
TUN1271,ARIANA VILLE,ARIANA,4,12,6,6
TUN1272,ARIANA VILLE,ARIANA,5,9,6,6
TUN1297,ARIANA VILLE,ARIANA,5,9,6,6
TUN1360,ARIANA VILLE,ARIANA,3,12,0,6
TUN1383,ARIANA VILLE,ARIANA,5,15,9,6
TUN1400,ARIANA VILLE,ARIANA,5,12,9,6
TUN1466,ARIANA VILLE,ARIANA,5,6,9,6
TUN1475,ARIANA VILLE,ARIANA,5,15,9,6
TUN1487,ARIANA VILLE,ARIANA,3,9,6,0
TUN1681,ARIANA VILLE,ARIANA,4,16,0,0
TUN2092,ARIANA VILLE,ARIANA,1,1,0,0
TUN2181,ARIANA VILLE,ARIANA,#N/A,#N/A,#N/A,0
TUN2183,ARIANA VILLE,ARIANA,#N/A,#N/A,#N/A,0
TUN2221,ARIANA VILLE,ARIANA,1,1,0,0
TUN2111,ARIANA VILLE,ARIANA,#N/A,#N/A,#N/A,0
TUN2124,ARIANA VILLE,ARIANA,1,1,0,0
TUN2164,ARIANA VILLE,ARIANA,#N/A,#N/A,#N/A,0
TUN2187,ARIANA VILLE,ARIANA,#N/A,#N/A,#N/A,0
TUN2203,ARIANA VILLE,ARIANA,#N/A,#N/A,#N/A,0
TUN2204,ARIANA VILLE,ARIANA,#N/A,#N/A,#N/A,0
TUN1623,ARIANA VILLE,ARIANA,3,15,6,0
TUN1701,ARIANA VILLE,ARIANA,3,9,6,0
TUN2235,ARIANA VILLE,ARIANA,1,1,1,0
KAS1018,AYOUN,KASSERINE,3,9,0,0
TUN1001,BAB EL BHAR,TUNIS,6,12,9,0
TUN1002,BAB EL BHAR,TUNIS,6,15,6,6
TUN1003,BAB EL BHAR,TUNIS,6,15,9,6
TUN1004,BAB EL BHAR,TUNIS,6,9,6,0
TUN1005,BAB EL BHAR,TUNIS,5,9,9,6
TUN1006,BAB EL BHAR,TUNIS,5,16,6,6
TUN1049,BAB EL BHAR,TUNIS,5,6,9,6
TUN1050,BAB EL BHAR,TUNIS,6,12,6,6
TUN1052,BAB EL BHAR,TUNIS,6,15,6,6
TUN1053,BAB EL BHAR,TUNIS,6,15,6,0
TUN1054,BAB EL BHAR,TUNIS,6,12,9,0
TUN1057,BAB EL BHAR,TUNIS,6,16,6,0
TUN1063,BAB EL BHAR,TUNIS,6,9,9,6
TUN1139,BAB EL BHAR,TUNIS,4,6,0,0
TUN1277,BAB EL BHAR,TUNIS,6,12,9,0
TUN1327,BAB EL BHAR,TUNIS,6,15,6,6
TUN1328,BAB EL BHAR,TUNIS,6,12,9,6
TUN1329,BAB EL BHAR,TUNIS,2,4,0,0
TUN1368,BAB EL BHAR,TUNIS,5,12,9,6
TUN1448,BAB EL BHAR,TUNIS,5,15,6,0
TUN2018,BAB EL BHAR,TUNIS,1,1,0,0
TUN2031,BAB EL BHAR,TUNIS,1,1,0,0
TUN2033,BAB EL BHAR,TUNIS,2,2,0,0
TUN2034,BAB EL BHAR,TUNIS,1,0,0,0
TUN2077,BAB EL BHAR,TUNIS,1,2,0,0
TUN2082,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2083,BAB EL BHAR,TUNIS,1,1,0,0
TUN2086,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2093,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2114,BAB EL BHAR,TUNIS,1,2,0,0
TUN2116,BAB EL BHAR,TUNIS,1,0,0,0
TUN2129,BAB EL BHAR,TUNIS,1,1,0,0
TUN2134,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2135,BAB EL BHAR,TUNIS,1,1,0,0
TUN2138,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2141,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2142,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2146,BAB EL BHAR,TUNIS,1,0,0,0
TUN2152,BAB EL BHAR,TUNIS,1,1,0,0
TUN2159,BAB EL BHAR,TUNIS,1,1,0,0
TUN2165,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2170,BAB EL BHAR,TUNIS,1,0,0,0
TUN2195,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2232,BAB EL BHAR,TUNIS,1,1,0,0
TUN2037,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2094,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2113,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2117,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2145,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2173,BAB EL BHAR,TUNIS,1,2,2,0
TUN2196,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2197,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN2207,BAB EL BHAR,TUNIS,#N/A,#N/A,#N/A,0
TUN1775,Bab El Bhar,TUNIS,4,12,8,0
TUN1037,BAB SOUIKA,TUNIS,7,8,8,0
TUN1051,BAB SOUIKA,TUNIS,6,15,9,0
TUN1144,BAB SOUIKA,TUNIS,4,15,0,0
TUN1145,BAB SOUIKA,TUNIS,6,15,6,0
TUN1224,BAB SOUIKA,TUNIS,6,18,9,0
TUN1396,BAB SOUIKA,TUNIS,6,15,6,0
TUN2115,BAB SOUIKA,TUNIS,1,0,0,0
TUN2169,BAB SOUIKA,TUNIS,1,0,0,0
TUN2106,BAB SOUIKA,TUNIS,#N/A,#N/A,#N/A,0
JEN1017,BALTA BOU AOUANE,JENDOUBA,6,15,6,0
JEN1033,BALTA BOU AOUANE,JENDOUBA,6,11,0,0
JEN1059,BALTA BOU AOUANE,JENDOUBA,6,15,0,0
TUN1036,BARDO,TUNIS,#N/A,#N/A,#N/A,0
TUN1096,BARDO,TUNIS,5,16,9,6
TUN1097,BARDO,TUNIS,5,9,6,6
TUN1098,BARDO,TUNIS,5,15,9,6
TUN1099,BARDO,TUNIS,6,15,6,0
TUN1100,BARDO,TUNIS,6,18,9,6
TUN1112,BARDO,TUNIS,6,16,12,6
TUN1168,BARDO,TUNIS,6,15,9,6
TUN1207,BARDO,TUNIS,4,15,9,0
TUN1243,BARDO,TUNIS,3,12,9,6
TUN1248,BARDO,TUNIS,5,9,0,6
TUN1249,BARDO,TUNIS,4,15,9,6
TUN1260,BARDO,TUNIS,7,20,12,0
TUN1284,BARDO,TUNIS,5,9,6,0
TUN1307,BARDO,TUNIS,5,16,0,6
TUN1312,BARDO,TUNIS,5,9,0,0
TUN1352,BARDO,TUNIS,4,18,6,0
TUN1398,BARDO,TUNIS,5,15,6,6
TUN1457,BARDO,TUNIS,6,12,9,6
TUN2119,BARDO,TUNIS,1,1,0,0
TUN1766,BARDO,TUNIS,6,9,9,0
TUN1077,BARDO,Tunis,4,16,0,0
SLO1021,BARGOU,SILIANA,4,6,0,0
SLO1036,BARGOU,SILIANA,6,9,0,0
SLO1057,BARGOU,SILIANA,6,9,0,0
SLT1060,BARGOU,SILIANA,6,9,0,0
SLT1062,BARGOU,SILIANA,6,9,0,0
SLT1093,BARGOU,SILIANA,6,9,0,0
BEJ1056,BEJA,BEJA,3,12,9,0
BEJ1006,BEJA NORD,BEJA,4,11,4,0
BEJ1007,BEJA NORD,BEJA,6,21,6,0
BEJ1008,BEJA NORD,BEJA,6,16,6,0
BEJ1021,BEJA NORD,BEJA,3,8,0,0
BEJ1022,BEJA NORD,BEJA,4,10,0,0
BEJ1023,BEJA NORD,BEJA,4,12,0,0
BEJ1024,BEJA NORD,BEJA,6,12,0,0
BEJ1051,BEJA NORD,BEJA,5,13,0,0
BEJ1063,BEJA NORD,BEJA,4,12,8,0
BEJ1068,BEJA NORD,BEJA,4,14,8,0
BEJ1076,BEJA NORD,BEJA,3,12,6,0
BEJ1054,BEJA NORD,BEJA,3,9,9,0
BEJ1009,BEJA SUD,BEJA,5,#N/A,#N/A,0
BEJ1010,BEJA SUD,BEJA,5,#N/A,#N/A,0
BEJ1011,BEJA SUD,BEJA,6,18,0,0
BEJ1012,BEJA SUD,BEJA,5,12,0,0
BEJ1026,BEJA SUD,BEJA,8,17,8,0
BEJ1032,BEJA SUD,BEJA,4,10,2,0
BEJ1045,BEJA SUD,BEJA,4,12,0,0
BEJ1048,BEJA SUD,BEJA,6,12,0,0
BEJ1049,BEJA SUD,BEJA,6,17,0,0
BEJ2001,BEJA SUD,BEJA,1,1,1,0
BEJ1077,BEJA SUD,BEJA,6,15,6,0
BEJ1078,BEJA SUD,BEJA,8,17,8,0
MAH1010,BEKALTA,MONASTIR,6,16,6,0
MAH1011,BEKALTA,MONASTIR,4,8,2,0
MAH1036,BEKALTA,MONASTIR,5,15,6,0
GAF1023,BELKHIR,GAFSA,6,12,6,0
GAF1053,BELKHIR,GAFSA,5,18,0,0
MON1015,BEMBLA,MONASTIR,6,16,6,0
MON1031,BEMBLA,MONASTIR,5,15,6,0
MON1032,BEMBLA,MONASTIR,6,14,6,0
MON1034,BEMBLA,MONASTIR,2,8,0,0
MON1042,BEMBLA,MONASTIR,5,13,6,0
BAR1007,BEN AROUS,BEN AROUS,6,18,6,6
BAR1014,BEN AROUS,BEN AROUS,6,15,9,0
BAR1037,BEN AROUS,BEN AROUS,6,12,9,0
BAR1054,BEN AROUS,BEN AROUS,6,12,9,0
BAR1056,BEN AROUS,BEN AROUS,6,12,9,0
BAR1057,BEN AROUS,BEN AROUS,6,6,0,0
BAR1058,BEN AROUS,BEN AROUS,6,15,9,6
BAR1079,BEN AROUS,BEN AROUS,4,9,6,0
BAR1098,BEN AROUS,BEN AROUS,5,12,9,0
BAR1125,BEN AROUS,BEN AROUS,5,9,6,0
BAR1137,BEN AROUS,BEN AROUS,4,9,0,0
BAR1141,BEN AROUS,BEN AROUS,4,9,0,0
BAR1167,BEN AROUS,BEN AROUS,5,12,9,6
BAR1198,BEN AROUS,BEN AROUS,5,12,0,6
BAR1062,BEN AROUS,BEN AROUS,#N/A,#N/A,#N/A,0
MED1056,BEN GUERDANE,MEDNINE,6,17,6,0
MED1057,BEN GUERDANE,MEDNINE,6,17,6,0
MED1059,BEN GUERDANE,MEDNINE,3,14,6,0
MED1060,BEN GUERDANE,MEDNINE,6,22,8,0
MED1061,BEN GUERDANE,MEDNINE,4,10,6,0
MED1071,BEN GUERDANE,MEDNINE,3,12,0,0
MED1072,BEN GUERDANE,MEDNINE,6,1,6,0
MED1082,BEN GUERDANE,MEDNINE,6,15,6,0
MED1087,BEN GUERDANE,MEDNINE,6,15,6,0
MED1088,BEN GUERDANE,MEDNINE,5,14,6,0
MED1099,BEN GUERDANE,MEDNINE,6,15,6,0
MED1100,BEN GUERDANE,MEDNINE,4,14,6,0
MED1103,BEN GUERDANE,MEDNINE,3,5,0,0
MED1104,BEN GUERDANE,MEDNINE,3,10,0,0
MED1105,BEN GUERDANE,MEDNINE,3,6,0,0
MED1106,BEN GUERDANE,MEDNINE,2,6,4,0
MED1117,BEN GUERDANE,MEDNINE,5,15,6,0
MED1126,BEN GUERDANE,MEDNINE,6,17,6,0
MED1127,BEN GUERDANE,MEDNINE,5,15,6,0
MED1150,BEN GUERDANE,MEDNINE,3,12,6,0
MED1151,BEN GUERDANE,MEDNINE,3,9,6,0
MED1152,BEN GUERDANE,MEDNINE,4,12,8,0
MED1165,BEN GUERDANE,MEDNINE,3,12,6,0
MON1030,BENI HASSEN,MONASTIR,5,#N/A,#N/A,0
MON1095,BENI HASSEN,MONASTIR,5,14,0,0
NAB1028,BENI KHALLED,NABEUL,6,15,6,0
NAB1029,BENI KHALLED,NABEUL,4,10,4,0
NAB1099,BENI KHALLED,NABEUL,6,17,6,0
NAB1121,BENI KHALLED,NABEUL,5,15,0,0
NAB1141,BENI KHALLED,NABEUL,7,18,8,0
NAB1166,BENI KHALLED,NABEUL,6,13,6,0
NAB1167,BENI KHALLED,NABEUL,6,16,6,0
NAB2063,BENI KHALLED,NABEUL,1,1,0,0
MED1062,BENI KHEDECHE,MEDNINE,6,15,0,0
MED1063,BENI KHEDECHE,MEDNINE,6,16,3,0
MED1064,BENI KHEDECHE,MEDNINE,6,6,0,0
MED1078,BENI KHEDECHE,MEDNINE,3,12,0,0
MED1081,BENI KHEDECHE,MEDNINE,3,12,0,0
MED1089,BENI KHEDECHE,MEDNINE,3,12,0,0
MED1098,BENI KHEDECHE,MEDNINE,4,10,0,0
MED1108,BENI KHEDECHE,MEDNINE,5,14,0,0
MED1109,BENI KHEDECHE,MEDNINE,4,18,0,0
MED1110,BENI KHEDECHE,MEDNINE,4,15,0,0
MED1111,BENI KHEDECHE,MEDNINE,3,12,0,0
MED1131,BENI KHEDECHE,MEDNINE,5,18,0,0
NAB1030,BENI KHIAR,NABEUL,4,12,4,0
NAB1038,BENI KHIAR,NABEUL,4,10,0,0
NAB1041,BENI KHIAR,NABEUL,6,15,6,0
NAB1043,BENI KHIAR,NABEUL,5,13,3,0
NAB1071,BENI KHIAR,NABEUL,6,12,0,0
NAB1123,BENI KHIAR,NABEUL,5,#N/A,#N/A,0
NAB1124,BENI KHIAR,NABEUL,5,15,0,0
NAB1126,BENI KHIAR,NABEUL,5,6,0,0
NAB1203,BENI KHIAR,NABEUL,6,12,6,0
NAB1204,BENI KHIAR,NABEUL,5,15,6,0
NAB1217,BENI KHIAR,NABEUL,6,12,6,0
NAB1229,BENI KHIAR,NABEUL,6,9,0,0
SBO1012,BIR ALI BEN KHLIFA,SFAX,5,15,0,0
SFX1051,BIR ALI BEN KHLIFA,SFAX,6,11,6,0
SFX1059,BIR ALI BEN KHLIFA,SFAX,4,6,0,0
SFX1060,BIR ALI BEN KHLIFA,SFAX,4,9,0,0
SFX1158,BIR ALI BEN KHLIFA,SFAX,3,9,0,0
SFX1190,BIR ALI BEN KHLIFA,SFAX,6,11,0,0
SBO1005,BIR EL HFAY,SIDI BOUZID,4,15,6,0
SBO1037,BIR EL HFAY,SIDI BOUZID,3,15,0,0
SBO1044,BIR EL HFAY,SIDI BOUZID,5,16,0,0
TAT1002,BIR LAHMAR,TATAOUINE,8,18,8,0
TAT1019,BIR LAHMAR,TATAOUINE,2,4,0,0
ZGO1007,BIR M'CHERGUA,ZAGHOUAN,6,9,0,0
ZGO1018,BIR M'CHERGUA,ZAGHOUAN,5,12,0,0
ZGO1019,BIR M'CHERGUA,ZAGHOUAN,8,12,0,0
ZGO1020,BIR M'CHERGUA,ZAGHOUAN,5,9,0,0
ZGO1021,BIR M'CHERGUA,ZAGHOUAN,7,12,8,0
ZGO1028,BIR M'CHERGUA,ZAGHOUAN,4,9,0,0
ZGT1061,BIR M'CHERGUA,ZAGHOUAN,3,3,0,0
ZGT1070,BIR M'CHERGUA,ZAGHOUAN,6,9,0,0
ZGT1072,BIR M'CHERGUA,ZAGHOUAN,7,12,0,0
ZGT1074,BIR M'CHERGUA,ZAGHOUAN,5,9,0,0
ZGT1076,BIR M'CHERGUA,ZAGHOUAN,3,9,0,0
ZGT1077,BIR M'CHERGUA,ZAGHOUAN,6,3,0,0
ZAG1008,BIR M'CHERGUA,ZAGHOUAN,#N/A,#N/A,#N/A,0
BIZ1006,BIZERTE NORD,BIZERTE,3,11,4,4
BIZ1007,BIZERTE NORD,BIZERTE,3,10,4,4
BIZ1008,BIZERTE NORD,BIZERTE,4,12,3,0
BIZ1009,BIZERTE NORD,BIZERTE,4,10,2,4
BIZ1011,BIZERTE NORD,BIZERTE,4,15,6,6
BIZ1012,BIZERTE NORD,BIZERTE,6,16,8,6
BIZ1034,BIZERTE NORD,BIZERTE,6,17,6,6
BIZ1035,BIZERTE NORD,BIZERTE,5,15,3,6
BIZ1038,BIZERTE NORD,BIZERTE,6,15,6,6
BIZ1039,BIZERTE NORD,BIZERTE,6,15,6,6
BIZ1049,BIZERTE NORD,BIZERTE,5,15,6,6
BIZ1061,BIZERTE NORD,BIZERTE,4,16,6,6
BIZ1062,BIZERTE NORD,BIZERTE,4,16,6,0
BIZ1079,BIZERTE NORD,BIZERTE,3,15,6,6
BIZ1089,BIZERTE NORD,BIZERTE,5,15,0,0
BIZ1090,BIZERTE NORD,BIZERTE,3,15,6,0
BIZ1092,BIZERTE NORD,BIZERTE,4,16,6,6
BIZ1093,BIZERTE NORD,BIZERTE,5,15,6,0
BIZ1094,BIZERTE NORD,BIZERTE,5,16,6,0
BIZ1095,BIZERTE NORD,BIZERTE,5,15,6,6
BIZ1104,BIZERTE NORD,BIZERTE,5,15,6,6
BIZ1112,BIZERTE NORD,BIZERTE,4,15,0,0
BIZ1132,BIZERTE NORD,BIZERTE,6,20,0,0
BIZ1501,BIZERTE NORD,BIZERTE,6,16,6,0
BIZ2007,BIZERTE NORD,BIZERTE,1,1,0,0
BIZ2008,BIZERTE NORD,BIZERTE,1,1,0,0
BIZ1133,BIZERTE NORD,BIZERTE,5,15,0,0
BIZ1149,BIZERTE NORD,BIZERTE,3,12,9,0
BIZ1025,BIZERTE SUD,BIZERTE,6,18,6,6
BIZ1037,BIZERTE SUD,BIZERTE,6,17,6,0
BIZ1052,BIZERTE SUD,BIZERTE,4,12,0,0
BIZ1067,BIZERTE SUD,BIZERTE,5,17,3,0
BIZ1082,BIZERTE SUD,BIZERTE,8,23,8,0
BIZ1085,BIZERTE SUD,BIZERTE,3,6,0,0
BIZ1087,BIZERTE SUD,BIZERTE,4,20,0,0
BIZ1096,BIZERTE SUD,BIZERTE,5,15,6,0
BIZ1102,BIZERTE SUD,BIZERTE,6,16,6,0
BIZ1122,BIZERTE SUD,BIZERTE,8,24,8,0
TUN1109,BORJ EL AMRI,MANOUBA,8,16,8,0
SLO1003,BOU ARADA,SILIANA,6,9,6,0
SLO1015,BOU ARADA,SILIANA,6,9,0,0
SLO1026,BOU ARADA,SILIANA,4,6,0,0
SLO1042,BOU ARADA,SILIANA,6,9,0,0
SLO1046,BOU ARADA,SILIANA,6,9,0,0
SLT1065,BOU ARADA,SILIANA,6,9,0,0
SIL1003,BOU ARADA,SILIANA,#N/A,#N/A,#N/A,0
SIL1015,BOU ARADA,SILIANA,#N/A,#N/A,#N/A,0
SIL1046,BOU ARADA,SILIANA,#N/A,#N/A,#N/A,0
NAB1013,BOU ARGOUB,NABEUL,6,17,6,0
NAB1016,BOU ARGOUB,NABEUL,4,9,0,0
NAB1031,BOU ARGOUB,NABEUL,6,17,0,0
NAB1122,BOU ARGOUB,NABEUL,5,14,6,0
NAB1156,BOU ARGOUB,NABEUL,6,16,6,0
MAH1004,BOU MERDES,MAHDIA,6,15,0,0
MAH1024,BOU MERDES,MAHDIA,8,21,8,0
MAH1043,BOU MERDES,MAHDIA,6,13,6,0
MAH1045,BOU MERDES,MAHDIA,6,18,6,0
MAH1057,BOU MERDES,MAHDIA,4,12,0,0
MAH1061,BOU MERDES,MAHDIA,6,18,0,0
MAH1083,BOU MERDES,MAHDIA,8,16,0,0
BAR1033,BOU MHEL,BEN AROUS,6,18,9,6
BAR1123,BOU MHEL,BEN AROUS,3,15,9,0
BAR1200,BOU MHEL,BEN AROUS,4,12,6,0
BAR1113,BOU MHEL EL BASSATINE,BEN AROUS,4,16,12,0
SLO1045,BOU ROUIS,SILIANA,6,9,0,0
SLT1064,BOU ROUIS,SILIANA,6,9,0,0
SLT1081,BOU ROUIS,SILIANA,6,9,0,0
SLT1092,BOU ROUIS,SILIANA,6,11,0,0
SIL1008,BOU ROUIS,SILIANA,#N/A,#N/A,#N/A,0
SLT1087,BOU ROUIS,SILIANA,6,9,0,0
SLO1008,BOU ROUIS,SILIANA,6,15,0,0
JEN1012,BOU SALEM,JENDOUBA,6,13,0,0
JEN1018,BOU SALEM,JENDOUBA,6,14,6,0
JEN1031,BOU SALEM,JENDOUBA,7,16,0,0
JEN1032,BOU SALEM,JENDOUBA,6,15,6,0
JEN1043,BOU SALEM,JENDOUBA,6,12,6,0
JEN1044,BOU SALEM,JENDOUBA,6,15,6,0
NAB1060,BOUFICHA,SOUSSE,5,15,3,0
NAB1160,BOUFICHA,SOUSSE,4,6,4,0
NAB1161,BOUFICHA,SOUSSE,6,15,6,0
SOS1013,BOUFICHA,SOUSSE,6,18,6,0
SOS1043,BOUFICHA,SOUSSE,4,10,0,0
SOS1079,BOUFICHA,SOUSSE,6,15,6,0
SOS1094,BOUFICHA,SOUSSE,4,12,4,0
SOS1117,BOUFICHA,SOUSSE,5,6,0,0
SOS1128,BOUFICHA,SOUSSE,5,15,6,0
TUN1655,CARTHAGE,TUNIS,6,12,6,0
TUN1021,CARTHAGE,TUNIS,2,8,0,0
TUN1022,CARTHAGE,TUNIS,8,16,8,0
TUN1023,CARTHAGE,TUNIS,4,12,8,0
